102041_10675,100522_12003,,,,BBLID,SCANID_CEST,,
,93274_10765,,,,19830,10789,,19830_10789
,93274_10765,,,,80557,10738,,80557_10738
,93292_10938,,,,119791,10705,,119791_10705
,93292_10938,,,,132641,10692,,132641_10692
,93734_10694,,,,106880,10699,,106880_10699
,93734_10694,,,,121407,10688,,121407_10688
,93757_12015,,,,93734,10694,,93734_10694
,94028_9203,,,,20645,11260,,20645_11260
,94276_10927,,,,83835,10706,,83835_10706
,94288_12092,,,,85743,10944,,85743_10944
,94378_11833,,,,20642,11261,,20642_11261
,94703_12082,,,,20011,10888,,20011_10888
,95257_12041,,,,91919,10683,,91919_10683
,96465_12069,,,,20543,11259,,20543_11259
,96659_11096,,,,81725,11109,,81725_11109
,96659_11096,,,,87225,10933,,87225_10933
,96902_11903,,,,88608,10764,,88608_10764
,97994_11114,,,,90877,10907,,90877_10907
,97994_11114,,,,92155,11022,,92155_11022
,98370_12558,,,,93274,10765,,93274_10765
,98831_10086,,,,112126,11157,,112126_11157
,,,,,139272,10739,,139272_10739
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
